chgNo,description,CPT,revCode,chgAmt
100000,DX PORTABLE CHEST X-RAY,71045,0320,216.80
100001,"DX CHEST X-RAY, 2 VIEWS",71046,0320,230.07
100002,"DX SHOULDER X-RAY, COMPLETE",73030,0320,238.98
100003,"DX KNEE X-RAY, 1 OR 2 VIEWS",73560,0320,229.49
100004,"DX LUMBAR SPINE X-RAY, 2 OR 3 VIEWS",72100,0320,224.13
100005,"DX FOOT X-RAY, COMPLETE",73630,0320,243.42
100006,"DX CERVICAL SPINE X-RAY, 2 OR 3 VIEWS",72040,0320,231.62
100007,"DX HAND X-RAY, COMPLETE",73130,0320,219.78
100008,"DX ABDOMINAL X-RAY, 1 VIEW",74018,0320,221.76
100009,"DX HIP X-RAY, 2 OR 3 VIEWS",73502,0320,230.81
100875,"MM SCREENING MAMMOGRAPHY, BILATERAL",77067,0403,263.10
100876,"MM DIAGNOSTIC MAMMOGRAPHY, UNILATERAL",77065,0403,269.99
100877,"MM DIAGNOSTIC MAMMOGRAPHY, BILATERAL",77066,0403,265.18
100878,"MM DIGITAL BREAST TOMOSYNTHESIS, SCREENING",77063,0403,279.02
101200,"US ABDOMINAL ULTRASOUND, COMPLETE",76700,0402,298.12
101201,"US ABDOMINAL ULTRASOUND, LIMITED",76705,0402,310.98
101202,"US PELVIC ULTRASOUND, COMPLETE",76856,0402,307.79
101203,US TRANSVAGINAL PELVIC ULTRASOUND,76830,0402,296.49
101204,US THYROID ULTRASOUND,76536,0402,314.78
101205,US CHEST ULTRASOUND,76604,0402,307.02
101206,"US EXTREMITY ULTRASOUND, LIMITED",76882,0402,291.32
101650,CT HEAD CT WITHOUT CONTRAST,70450,0351,1459.30
101651,CT HEAD CT WITH CONTRAST,70460,0351,1308.34
101652,CT CHEST CT WITHOUT CONTRAST,71250,0351,1456.30
101653,CT CHEST CT WITH CONTRAST,71260,0351,1398.36
101654,CT ABDOMEN AND PELVIS CT WITHOUT CONTRAST,74176,0351,1298.69
101655,CT ABDOMEN AND PELVIS CT WITH CONTRAST,74177,0351,1459.44
101656,CT CERVICAL SPINE CT WITHOUT CONTRAST,72125,0351,1430.79
101657,CT LUMBAR SPINE CT WITHOUT CONTRAST,72131,0351,1344.58
101658,CT PELVIS CT WITHOUT CONTRAST,72192,0351,1375.34
102125,MR BRAIN MRI WITHOUT CONTRAST,70551,0610,2164.48
102126,MR BRAIN MRI WITH AND WITHOUT CONTRAST,70553,0610,1891.84
102127,MR CERVICAL SPINE MRI WITHOUT CONTRAST,72141,0610,2008.53
102128,MR CERVICAL SPINE MRI WITH CONTRAST,72142,0610,2205.02
102129,MR LUMBAR SPINE MRI WITHOUT CONTRAST,72148,0610,1890.14
102130,MR LUMBAR SPINE MRI WITH CONTRAST,72149,0610,1917.82
102131,MR UPPER EXTREMITY MRI WITHOUT CONTRAST,73221,0610,1887.03
102132,MR LOWER EXTREMITY MRI WITHOUT CONTRAST,73721,0610,2018.39
102133,MR ABDOMEN MRI WITHOUT CONTRAST,74181,0610,2142.93
102134,MR ABDOMEN MRI WITH AND WITHOUT CONTRAST,74183,0610,2062.95
