chgNo,description,CPT,revCode,chgAmt
100000,DX PORTABLE CHEST X-RAY,71045,0320,216.80
100001,"DX Chest x-ray, 2 views",71046,0320,230.07
100002,"DX shoulder x-ray, complete",73030,0320,238.98
100003,"DX KNEE X-RAY, 1 OR 2 VIEWS",73560,0320,229.49
100004,"DX Lumbar spine x-ray, 2 or 3 views",72100,0320,224.13
100005,"DX foot x-ray, complete",73630,0320,243.42
100006,"DX CERVICAL SPINE X-RAY, 2 OR 3 VIEWS",72040,0320,231.62
100007,"DX Hand x-ray, complete",73130,0320,219.78
100008,"DX abdominal x-ray, 1 view",74018,0320,221.76
100009,"DX HIP X-RAY, 2 OR 3 VIEWS",73502,0320,230.81
100875,"MM SCREENING MAMMOGRAPHY, BILATERAL",77067,0403,263.10
100876,"MM Diagnostic mammography, unilateral",77065,0403,269.99
100877,"MM diagnostic mammography, bilateral",77066,0403,265.18
100878,"MM DIGITAL BREAST TOMOSYNTHESIS, SCREENING",77063,0403,279.02
101200,"US ABDOMINAL ULTRASOUND, COMPLETE",76700,0402,298.12
101201,"US Abdominal ultrasound, limited",76705,0402,310.98
101202,"US pelvic ultrasound, complete",76856,0402,307.79
101203,US TRANSVAGINAL PELVIC ULTRASOUND,76830,0402,296.49
101204,US Thyroid ultrasound,76536,0402,314.78
101205,US chest ultrasound,76604,0402,307.02
101206,"US EXTREMITY ULTRASOUND, LIMITED",76882,0402,291.32
101650,CT HEAD CT WITHOUT CONTRAST,70450,0351,1459.30
101651,CT Head ct with contrast,70460,0351,1308.34
101652,CT chest ct without contrast,71250,0351,1456.30
101653,CT CHEST CT WITH CONTRAST,71260,0351,1398.36
101654,CT Abdomen and pelvis ct without contrast,74176,0351,1298.69
101655,CT abdomen and pelvis ct with contrast,74177,0351,1459.44
101656,CT CERVICAL SPINE CT WITHOUT CONTRAST,72125,0351,1430.79
101657,CT Lumbar spine ct without contrast,72131,0351,1344.58
101658,CT pelvis ct without contrast,72192,0351,1375.34
102125,MR BRAIN MRI WITHOUT CONTRAST,70551,0610,2164.48
102126,MR Brain mri with and without contrast,70553,0610,1891.84
102127,MR cervical spine mri without contrast,72141,0610,2008.53
102128,MR CERVICAL SPINE MRI WITH CONTRAST,72142,0610,2205.02
102129,MR Lumbar spine mri without contrast,72148,0610,1890.14
102130,MR lumbar spine mri with contrast,72149,0610,1917.82
102131,MR UPPER EXTREMITY MRI WITHOUT CONTRAST,73221,0610,1887.03
102132,MR Lower extremity mri without contrast,73721,0610,2018.39
102133,MR abdomen mri without contrast,74181,0610,2142.93
102134,MR ABDOMEN MRI WITH AND WITHOUT CONTRAST,74183,0610,2062.95
