chgNo,description,CPT,revCode,chgAmt
100000,DX PORTABLE CHEST X-RAY,71045,0320,240.00
100001,"DX Chest x-ray, 2 views",71046,0320,215.75
100002,"DX shoulder x-ray, complete",73030,0320,99.50
100003,"DX KNEE X-RAY, 1 OR 2 VIEWS",73560,0320,343.25
100004,"DX Lumbar spine x-ray, 2 or 3 views",72100,0320,331.00
100005,"DX foot x-ray, complete",73630,0320,119.75
100006,"DX CERVICAL SPINE X-RAY, 2 OR 3 VIEWS",72040,0320,207.50
100007,"DX Hand x-ray, complete",73130,0320,89.25
100008,"DX abdominal x-ray, 1 view",74018,0320,108.00
100009,"DX HIP X-RAY, 2 OR 3 VIEWS",73502,0320,293.75
100010,DX Portable chest x-ray,71045,0320,328.50
100011,"DX chest x-ray, 2 views",71046,0320,112.00
100012,"DX SHOULDER X-RAY, COMPLETE",73030,0320,81.75
100013,"DX Knee x-ray, 1 or 2 views",73560,0320,177.50
100014,"DX lumbar spine x-ray, 2 or 3 views",72100,0320,226.25
100015,"DX FOOT X-RAY, COMPLETE",73630,0320,163.00
100016,"DX Cervical spine x-ray, 2 or 3 views",72040,0320,352.75
100017,"DX hand x-ray, complete",73130,0320,108.50
100018,"DX ABDOMINAL X-RAY, 1 VIEW",74018,0320,213.25
100019,"DX Hip x-ray, 2 or 3 views",73502,0320,363.00
100020,DX portable chest x-ray,71045,0320,110.75
100021,"DX CHEST X-RAY, 2 VIEWS",71046,0320,269.50
100022,"DX Shoulder x-ray, complete",73030,0320,256.00
100023,"DX knee x-ray, 1 or 2 views",73560,0320,180.75
100024,"DX LUMBAR SPINE X-RAY, 2 OR 3 VIEWS",72100,0320,239.50
100025,"DX Foot x-ray, complete",73630,0320,213.25
100026,"DX cervical spine x-ray, 2 or 3 views",72040,0320,129.00
100027,"DX HAND X-RAY, COMPLETE",73130,0320,333.75
100028,"DX Abdominal x-ray, 1 view",74018,0320,296.50
100029,"DX hip x-ray, 2 or 3 views",73502,0320,176.25
100030,DX PORTABLE CHEST X-RAY,71045,0320,233.00
100031,"DX Chest x-ray, 2 views",71046,0320,117.75
100032,"DX shoulder x-ray, complete",73030,0320,117.50
100033,"DX KNEE X-RAY, 1 OR 2 VIEWS",73560,0320,185.00
100034,"DX Lumbar spine x-ray, 2 or 3 views",72100,0320,64.75
100035,"DX foot x-ray, complete",73630,0320,182.50
100036,"DX CERVICAL SPINE X-RAY, 2 OR 3 VIEWS",72040,0320,326.25
100037,"DX Hand x-ray, complete",73130,0320,312.00
100038,"DX abdominal x-ray, 1 view",74018,0320,164.75
