chgNo,description,CPT,revCode,chgAmt
100000,DX PORTABLE CHEST X-RAY,71045,320,240.00
100001,"DX CHEST X-RAY, 2 VIEWS",71046,320,215.75
100002,"DX SHOULDER X-RAY, COMPLETE",73030,320,99.50
100003,"DX KNEE X-RAY, 1 OR 2 VIEWS",73560,320,343.25
100004,"DX LUMBAR SPINE X-RAY, 2 OR 3 VIEWS",72100,320,331.00
100005,"DX FOOT X-RAY, COMPLETE",73630,320,119.75
100006,"DX CERVICAL SPINE X-RAY, 2 OR 3 VIEWS",72040,320,207.50
100007,"DX HAND X-RAY, COMPLETE",73130,320,89.25
100008,"DX ABDOMINAL X-RAY, 1 VIEW",74018,320,108.00
100009,"DX HIP X-RAY, 2 OR 3 VIEWS",73502,320,293.75
100010,DX PORTABLE CHEST X-RAY,71045,320,328.50
100011,"DX CHEST X-RAY, 2 VIEWS",71046,320,112.00
100012,"DX SHOULDER X-RAY, COMPLETE",73030,320,81.75
100013,"DX KNEE X-RAY, 1 OR 2 VIEWS",73560,320,177.50
100014,"DX LUMBAR SPINE X-RAY, 2 OR 3 VIEWS",72100,320,226.25
100015,"DX FOOT X-RAY, COMPLETE",73630,320,163.00
100016,"DX CERVICAL SPINE X-RAY, 2 OR 3 VIEWS",72040,320,352.75
100017,"DX HAND X-RAY, COMPLETE",73130,320,108.50
100018,"DX ABDOMINAL X-RAY, 1 VIEW",74018,320,213.25
100019,"DX HIP X-RAY, 2 OR 3 VIEWS",73502,320,363.00
100020,DX PORTABLE CHEST X-RAY,71045,320,110.75
100021,"DX CHEST X-RAY, 2 VIEWS",71046,320,269.50
100022,"DX SHOULDER X-RAY, COMPLETE",73030,320,256.00
100023,"DX KNEE X-RAY, 1 OR 2 VIEWS",73560,320,180.75
100024,"DX LUMBAR SPINE X-RAY, 2 OR 3 VIEWS",72100,320,239.50
100025,"DX FOOT X-RAY, COMPLETE",73630,320,213.25
100026,"DX CERVICAL SPINE X-RAY, 2 OR 3 VIEWS",72040,320,129.00
100027,"DX HAND X-RAY, COMPLETE",73130,320,333.75
100028,"DX ABDOMINAL X-RAY, 1 VIEW",74018,320,296.50
100029,"DX HIP X-RAY, 2 OR 3 VIEWS",73502,320,176.25
100030,DX PORTABLE CHEST X-RAY,71045,320,233.00
100031,"DX CHEST X-RAY, 2 VIEWS",71046,320,117.75
100032,"DX SHOULDER X-RAY, COMPLETE",73030,320,117.50
100033,"DX KNEE X-RAY, 1 OR 2 VIEWS",73560,320,185.00
100034,"DX LUMBAR SPINE X-RAY, 2 OR 3 VIEWS",72100,320,64.75
100035,"DX FOOT X-RAY, COMPLETE",73630,320,182.50
100036,"DX CERVICAL SPINE X-RAY, 2 OR 3 VIEWS",72040,320,326.25
100037,"DX HAND X-RAY, COMPLETE",73130,320,312.00
100038,"DX ABDOMINAL X-RAY, 1 VIEW",74018,320,164.75
100039,"DX HIP X-RAY, 2 OR 3 VIEWS",73502,320,210.50
100040,DX PORTABLE CHEST X-RAY,71045,320,210.25
100041,"DX CHEST X-RAY, 2 VIEWS",71046,320,307.00
100042,"DX SHOULDER X-RAY, COMPLETE",73030,320,355.75
100043,"DX KNEE X-RAY, 1 OR 2 VIEWS",73560,320,247.50
100044,"DX LUMBAR SPINE X-RAY, 2 OR 3 VIEWS",72100,320,200.00
100045,"DX FOOT X-RAY, COMPLETE",73630,320,70.75
100046,"DX CERVICAL SPINE X-RAY, 2 OR 3 VIEWS",72040,320,237.50
100047,"DX HAND X-RAY, COMPLETE",73130,320,197.25
100048,"DX ABDOMINAL X-RAY, 1 VIEW",74018,320,233.00
100049,"DX HIP X-RAY, 2 OR 3 VIEWS",73502,320,173.75
100050,DX PORTABLE CHEST X-RAY,71045,320,142.50
100051,"DX CHEST X-RAY, 2 VIEWS",71046,320,249.25
100052,"DX SHOULDER X-RAY, COMPLETE",73030,320,271.00
100053,"DX KNEE X-RAY, 1 OR 2 VIEWS",73560,320,289.75
100054,"DX LUMBAR SPINE X-RAY, 2 OR 3 VIEWS",72100,320,264.50
